185,不,4,bu4,bu404
186,冇,4,mao3,mao304
187,仄,4,ze4,ze404
188,太,4,tai4,tai404
189,犬,4,quan3,quan304
190,区,4,qu1,qu104
191,历,4,li4,li404
192,厷,4,si1,si104
193,友,4,you3,you304
194,尤,4,you2,you204
195,歹,4,dai3,dai304
196,匹,4,pi3,pi304
197,厄,4,e4,e404
198,辷,4,zzzzzz5,zzzzzz599
199,车,4,che1,che104
200,戸,4,hu4,hu404
201,巨,5,ju4,ju405
202,牙,4,ya2,ya204
203,屯,4,tun2,tun204
204,戈,4,ge1,ge104
205,兂,4,zan1,zan104
206,旡,4,ji4,ji404
207,比,4,bi3,bi304
208,互,4,hu4,hu404
209,切,4,qie4,qie404
210,瓦,4,wa3,wa304
211,卝,4,kuang4,kuang404
212,止,4,zhi3,zhi304
213,攴,4,po1,po104
214,少,4,shao3,shao304
215,尐,4,ji1,ji104
216,冃,4,mao4,mao404
217,冄,4,ran3,ran304
218,日,4,ri4,ri404
219,曰,4,yue1,yue104
220,中,4,zhong1,zhong104
221,円,4,yuan2,yuan204
222,乢,4,gai4,gai404
223,內,4,nei4,nei404
224,内,4,nei4,nei404
225,冈,4,gang1,gang104
226,水,4,shui3,shui304
227,罓,4,wang3,wang304
228,贝,4,bei4,bei404
229,见,4,jian4,jian404
230,禸,4,rou2,rou204
231,午,4,wu3,wu304
232,手,4,shou3,shou304
233,牛,4,niu2,niu204
234,毛,4,mao2,mao204
235,气,4,qi4,qi404
236,壬,4,ren2,ren204
237,牜,4,cheng1,cheng104
238,升,4,sheng1,sheng104
239,夭,4,yao1,yao104
240,攵,4,po1,po104
241,长,4,zhang3,zhang304
242,仁,4,ren2,ren204
243,什,4,shen2,shen204
244,仃,4,ding1,ding104
245,片,4,pian4,pian404
246,仆,4,pu1,pu104
247,仈,4,ba1,ba104
248,仇,4,chou2,chou204
249,仉,4,zhang3,zhang304
250,化,4,hua4,hua404
251,屲,4,wa1,wa104
252,币,4,bi4,bi404
253,仂,4,le4,le404
254,仍,4,reng2,reng204
255,仅,4,jin3,jin304
256,仏,4,fo2,fo204
257,斤,4,jin1,jin104
258,爪,4,zhua3,zhua304
259,丯,4,jie4,jie404
260,戶,4,hu4,hu404
261,反,4,fan3,fan304
262,仐,4,san3,san304
263,兮,4,xi1,xi104
264,刈,4,yi4,yi404
265,介,4,jie4,jie404
266,仌,4,bing1,bing104
267,从,4,cong2,cong204
268,父,4,fu4,fu404
269,爻,4,yao2,yao204
270,乥,4,zzzzzz5,zzzzzz599
271,仑,4,lun2,lun204
272,尣,3,wang1,wang103
273,爫,4,lan4,lan404
274,仒,4,zzzzzz5,zzzzzz599
